No,Nama Barang,Harga Pasaran (Rp),Harga Jual (Rp),Selisih (Rp),Persentase Markup (%),Kategori Markup
672,Dashcam Viofo A129 Pro Duo,2168927,2688639,519712,24.0,Normal
673,Apple Watch Series 9,7504252,8815856,1311604,17.5,Normal
674,Organic Selotip bening 1 roll,41244,235195,193951,470.3,MARKUP GILA-GILAAN ⚠️
675,Ban Bridgestone Ecopia 195/65 R15,863293,1006602,143309,16.6,Normal
676,Pelembab Cetaphil 250ml,144500,153546,9046,6.3,Normal
677,Exclusive Keripik Kentang Lays Original 75g,67330,955564,888234,1319.2,MARKUP GILA-GILAAN ⚠️
678,Granola Organic Uncle Tobys 500g,91480,109313,17833,19.5,Normal
679,Kopi Luwak Premium 200g,334284,373530,39246,11.7,Normal
680,Special Keripik Kentang Lays Original 75g,24560,139256,114696,467.0,MARKUP GILA-GILAAN ⚠️
681,Tas Gucci Marmont,28246117,33352343,5106226,18.1,Normal
682,Kacamata Rayban Wayfarer,2457146,2824835,367689,15.0,Normal
683,Processor Intel Core i9-14900K,9937256,12255017,2317761,23.3,Normal
684,Xiaomi 14 Pro,11925166,13441280,1516114,12.7,Normal
685,Jam Tangan Casio G-Shock GA700,1186800,1311676,124876,10.5,Normal
686,Ban Bridgestone Ecopia 195/65 R15,933057,1166237,233180,25.0,Normal
687,Ultra Obat Paracetamol 500mg strip,23523,212481,188958,803.3,MARKUP GILA-GILAAN ⚠️
688,Water Purifier Coway AP-1512HH,3288559,3889084,600525,18.3,Normal
689,GoPro Hero 12 Black,5863726,6698418,834692,14.2,Normal
690,Wagyu A5 Beef 300g,766335,906006,139671,18.2,Normal
691,Earphone TWS Sony WF-1000XM5,3512262,4015321,503059,14.3,Normal
692,Ultra Air Kelapa kemasan 330ml,24774,316002,291228,1175.5,MARKUP GILA-GILAAN ⚠️
693,Syal Burberry Classic Check,5004460,5969121,964661,19.3,Normal
694,Dompet Coach Crossgrain Leather,2130278,2251814,121536,5.7,Normal
695,Gloves Boxing Everlast Pro Style,502842,614106,111264,22.1,Normal
696,Buku The Psychology of Money,96412,111627,15215,15.8,Normal
697,Sepatu Running Brooks Ghost 15,1924821,2255506,330685,17.2,Normal
698,Serum Vitamin C Skinceuticals CE Ferulic,2190669,2649075,458406,20.9,Normal
699,Protein Bar Quest Nutrition Box 12,358382,380448,22066,6.2,Normal
700,Samsung Galaxy S24 Ultra,18172283,21363717,3191434,17.6,Normal
701,Sepatu Running Brooks Ghost 15,1939460,2099205,159745,8.2,Normal
702,Gold Edition Beras Putih Premium 1kg,66435,644066,577631,869.5,MARKUP GILA-GILAAN ⚠️
703,Premium Pulpen Pilot G2 0.5mm,48793,468450,419657,860.1,MARKUP GILA-GILAAN ⚠️
704,Deodorant Dove Original 150ml,44289,52222,7933,17.9,Normal
705,Samsung 65 inch QLED TV,16411130,19677269,3266139,19.9,Normal
706,Canon EOS R6 Mark II,38227662,44304203,6076541,15.9,Normal
707,Buku Zero to One Peter Thiel,90054,110970,20916,23.2,Normal
708,Cover Mobil All New Silver,495736,601025,105289,21.2,Normal
709,SSD Samsung 980 Pro 2TB,2869507,3225332,355825,12.4,Normal
710,Premium Tisu Makan Premium 200 lembar,35617,428504,392887,1103.1,MARKUP GILA-GILAAN ⚠️
711,Tas Gucci Marmont,29072469,33246662,4174193,14.4,Normal
712,Barbel Set 20kg Body Gym,815320,947930,132610,16.3,Normal
713,Sepatu Adidas Ultraboost 23,2203323,2677818,474495,21.5,Normal
714,Blender Vitamix 5200,5771094,6808829,1037735,18.0,Normal
715,Keyboard Mechanical Keychron Q1,2245024,2741624,496600,22.1,Normal
716,Truffle Hitam 50g,1166755,1279663,112908,9.7,Normal
717,Sabun Muka CeraVe Hydrating Cleanser,183854,223249,39395,21.4,Normal
718,Canon EOS R6 Mark II,38774969,44534159,5759190,14.9,Normal
719,Madu Manuka UMF 20+ 500g,884818,1078294,193476,21.9,Normal
720,iPhone 15 Pro Max 256GB,22168741,25549894,3381153,15.3,Normal
721,Limited Kantong Plastik 'Eco' 1 pack,23128,237317,214189,926.1,MARKUP GILA-GILAAN ⚠️
722,Ikat Pinggang Hermes,12443151,13616006,1172855,9.4,Normal
723,Dashcam Viofo A129 Pro Duo,2158329,2402305,243976,11.3,Normal
724,Exclusive Minuman Teh Kotak 200ml,74944,543830,468886,625.6,MARKUP GILA-GILAAN ⚠️
725,Laptop ASUS ROG Zephyrus G14,22416021,26640038,4224017,18.8,Normal
726,Alarm Mobil Clifford 350X,1768881,1935287,166406,9.4,Normal
727,Buku Sapiens Yuval Noah Harari,109484,133819,24335,22.2,Normal
728,iPhone 15 Pro Max 256GB,22668725,27824286,5155561,22.7,Normal
729,iPad Pro 12.9 inch M2,18637679,22991858,4354179,23.4,Normal
730,SSD Samsung 980 Pro 2TB,2671860,3119902,448042,16.8,Normal
731,Suplemen Vitamin C 1000mg 100 Tab,122425,130015,7590,6.2,Normal
732,Monitor LG UltraWide 34 inch,7923889,9238481,1314592,16.6,Normal
733,GoPro Hero 12 Black,5971472,7165325,1193853,20.0,Normal
734,Microwave Sharp 27L,1213530,1276513,62983,5.2,Normal
735,Special Tisu Makan Premium 200 lembar,58036,724795,666759,1148.9,MARKUP GILA-GILAAN ⚠️
736,Nintendo Switch OLED,4527124,5049921,522797,11.5,Normal
737,Kamus Bahasa Inggris Oxford Advanced,257893,303404,45511,17.6,Normal
738,Exclusive Kapas Kecantikan biasa 100pcs,71652,1051639,979987,1367.7,MARKUP GILA-GILAAN ⚠️
739,MacBook Pro M3 14 inch,30570558,35991630,5421072,17.7,Normal
740,Xbox Series X,7860721,8995393,1134672,14.4,Normal
741,Protein Whey Optimum Nutrition 5lb,726193,872874,146681,20.2,Normal
742,Granola Organic Uncle Tobys 500g,94670,117534,22864,24.2,Normal
743,Buku Zero to One Peter Thiel,87264,102446,15182,17.4,Normal
744,Champagne Moet & Chandon 750ml,919193,980916,61723,6.7,Normal
745,RAM Corsair Vengeance 32GB DDR5,2432319,2647816,215497,8.9,Normal
746,RAM Corsair Vengeance 32GB DDR5,2563414,3011817,448403,17.5,Normal
747,Mesin Cuci Samsung Front Load 9kg,5341026,5626765,285739,5.3,Normal
748,Monitor LG UltraWide 34 inch,7627710,8673670,1045960,13.7,Normal
749,Luxury Tisu Makan Premium 200 lembar,13701,142802,129101,942.3,MARKUP GILA-GILAAN ⚠️
750,Masker Rambut Olaplex No.8 100ml,367869,420885,53016,14.4,Normal
751,Luxury Kantong Plastik 'Eco' 1 pack,4807,23819,19012,395.5,MARKUP GILA-GILAAN ⚠️
752,Sepeda Statis Peloton Bike+,22882612,26739821,3857209,16.9,Normal
753,Micellar Water Bioderma 500ml,216021,261407,45386,21.0,Normal
754,Samsung Galaxy S24 Ultra,18868287,20354815,1486528,7.9,Normal
755,Keju Parmigiano Reggiano 500g,366508,453445,86937,23.7,Normal
756,Earphone TWS Sony WF-1000XM5,3336606,4109423,772817,23.2,Normal
757,Sneakers New Balance 990v6,2918580,3609383,690803,23.7,Normal
758,Luxury Garam Himalaya 500g,78562,696428,617866,786.5,MARKUP GILA-GILAAN ⚠️
759,Xiaomi 14 Pro,12497330,13254803,757473,6.1,Normal
760,Body Lotion Bath & Body Works,340455,396559,56104,16.5,Normal
761,Selai Kacang Skippy Chunky 462g,88376,102089,13713,15.5,Normal
762,Suplemen Vitamin C 1000mg 100 Tab,116284,142021,25737,22.1,Normal
763,Shampo Kerastase Bain Satin 250ml,358969,436169,77200,21.5,Normal
764,Earphone TWS Sony WF-1000XM5,3662264,4177643,515379,14.1,Normal
765,Buku Atomic Habits James Clear,101545,119504,17959,17.7,Normal
766,Luxury Buku Tulis A5 biasa,6808,48750,41942,616.1,MARKUP GILA-GILAAN ⚠️
767,Protein Whey Optimum Nutrition 5lb,774320,911186,136866,17.7,Normal
768,Oli Mesin Castrol Edge 5W-40 4L,282875,319614,36739,13.0,Normal
769,Ultra Kapas Kecantikan biasa 100pcs,50558,318336,267778,529.6,MARKUP GILA-GILAAN ⚠️
770,Buku Zero to One Peter Thiel,91771,112192,20421,22.3,Normal
771,Sepeda Statis Peloton Bike+,23898178,28520487,4622309,19.3,Normal
772,Mesin Espresso De'Longhi La Specialista,11971585,13663625,1692040,14.1,Normal
773,Granola Organic Uncle Tobys 500g,99256,120325,21069,21.2,Normal
774,Gold Edition Air Kelapa kemasan 330ml,73355,649108,575753,784.9,MARKUP GILA-GILAAN ⚠️
775,Whisky Johnnie Walker Blue Label,1464418,1778353,313935,21.4,Normal
776,Nintendo Switch OLED,4602955,4983647,380692,8.3,Normal
777,Buku Zero to One Peter Thiel,86030,106496,20466,23.8,Normal
778,Artisan Kantong Plastik 'Eco' 1 pack,48500,497087,448587,924.9,MARKUP GILA-GILAAN ⚠️
779,MacBook Pro M3 14 inch,31452100,35291103,3839003,12.2,Normal
780,Treadmill NordicTrack Commercial 2950,27543175,31039528,3496353,12.7,Normal
781,OPPO Find X7 Ultra,14634750,15741945,1107195,7.6,Normal
782,Sirup Monin Premium 700ml,119690,140846,21156,17.7,Normal
783,Deodorant Dove Original 150ml,45978,56455,10477,22.8,Normal
784,Car Audio Pioneer MVH-S215BT,850389,972217,121828,14.3,Normal
785,Teh Darjeeling FTGFOP1 100g,282666,302522,19856,7.0,Normal
786,Limited Air Mineral Premium 500ml,51323,814813,763490,1487.6,MARKUP GILA-GILAAN ⚠️
787,Limited Minuman Teh Kotak 200ml,54460,257528,203068,372.9,MARKUP GILA-GILAAN ⚠️
788,Canon EOS R6 Mark II,37968812,40211598,2242786,5.9,Normal
789,Eyeshadow Palette Urban Decay Naked,830540,988335,157795,19.0,Normal
790,Pelumas Rem Ate Brake Fluid DOT4,83381,87655,4274,5.1,Normal
791,GPU NVIDIA RTX 4080,17548999,20753269,3204270,18.3,Normal
792,Organic Masker medis 3 ply 50pcs,35742,473565,437823,1225.0,MARKUP GILA-GILAAN ⚠️
793,Mixer KitchenAid Artisan 4.8L,9303010,11478013,2175003,23.4,Normal
794,Buku Atomic Habits James Clear,94404,114850,20446,21.7,Normal
795,Celana Jeans Levi's 501,934211,1045812,111601,11.9,Normal
796,Barbel Set 20kg Body Gym,794268,955237,160969,20.3,Normal
797,Granola Organic Uncle Tobys 500g,94713,114245,19532,20.6,Normal
798,Mascara Maybelline Volum Express,143315,170427,27112,18.9,Normal
799,Car Audio Pioneer MVH-S215BT,835041,966105,131064,15.7,Normal
800,Anggur Red Wine Bordeaux,639340,756143,116803,18.3,Normal
801,Keju Parmigiano Reggiano 500g,367132,386822,19690,5.4,Normal
802,Dashcam Viofo A129 Pro Duo,2142681,2364328,221647,10.3,Normal
803,Topi Snapback New Era,495438,581379,85941,17.3,Normal
804,Jam Tangan Casio G-Shock GA700,1143348,1415647,272299,23.8,Normal
805,Madu Manuka UMF 20+ 500g,822730,995138,172408,21.0,Normal
806,Router WiFi 6 ASUS AX6000,3614213,4247670,633457,17.5,Normal
807,Sepatu Adidas Ultraboost 23,2096668,2500950,404282,19.3,Normal
808,Buku Rich Dad Poor Dad Robert Kiyosaki,93418,111528,18110,19.4,Normal
809,Sepatu Adidas Ultraboost 23,2256409,2577597,321188,14.2,Normal
810,Jam Tangan Rolex Submariner,148484263,157059645,8575382,5.8,Normal
811,Deodorant Dove Original 150ml,44233,50645,6412,14.5,Normal
812,Blender Vitamix 5200,5858846,7131856,1273010,21.7,Normal
813,DJI Mini 4 Pro Drone,10669721,12150532,1480811,13.9,Normal
814,Special Buku Tulis A5 biasa,58671,772108,713437,1216.0,MARKUP GILA-GILAAN ⚠️
815,Premium Cotton Bud biasa 200pcs,59405,706383,646978,1089.1,MARKUP GILA-GILAAN ⚠️
816,Artisan Masker medis 3 ply 50pcs,11640,141135,129495,1112.5,MARKUP GILA-GILAAN ⚠️
817,Krim Malam La Mer Moisturizing 60ml,4615290,4876334,261044,5.7,Normal
818,Karpet Mobil Universal All New,353550,375496,21946,6.2,Normal
819,Deodorant Dove Original 150ml,45042,47848,2806,6.2,Normal
820,Water Purifier Coway AP-1512HH,3126903,3551071,424168,13.6,Normal
821,Organic Obat Paracetamol 500mg strip,61626,898966,837340,1358.7,MARKUP GILA-GILAAN ⚠️
822,Kamus Bahasa Inggris Oxford Advanced,260043,284387,24344,9.4,Normal
823,Serum Vitamin C Skinceuticals CE Ferulic,2091547,2485519,393972,18.8,Normal
824,Blush On NARS Orgasm,464438,492269,27831,6.0,Normal
825,Alarm Mobil Clifford 350X,1884835,2006962,122127,6.5,Normal
826,Treadmill NordicTrack Commercial 2950,28946412,34463779,5517367,19.1,Normal
827,Processor Intel Core i9-14900K,9619688,10664309,1044621,10.9,Normal
828,Artisan Beras Putih Premium 1kg,34753,308252,273499,787.0,MARKUP GILA-GILAAN ⚠️
829,Premium Cokelat KitKat 4 finger,43801,356394,312593,713.7,MARKUP GILA-GILAAN ⚠️
830,Minyak Zaitun Extra Virgin 1L,151874,184117,32243,21.2,Normal
831,Gloves Boxing Everlast Pro Style,510932,620415,109483,21.4,Normal
832,Organic Lem Kertas UHU 21g,19409,166908,147499,760.0,MARKUP GILA-GILAAN ⚠️
833,Sepatu Nike Air Jordan 1 High,2536877,2753908,217031,8.6,Normal
834,Blush On NARS Orgasm,496576,526082,29506,5.9,Normal
835,Buku Rich Dad Poor Dad Robert Kiyosaki,92731,110664,17933,19.3,Normal
836,Parfum Chanel No. 5 100ml,3412874,3618910,206036,6.0,Normal
837,Gloves Boxing Everlast Pro Style,523261,585057,61796,11.8,Normal
838,Caviar Beluga 30g,2843321,3241898,398577,14.0,Normal
839,Buku Zero to One Peter Thiel,86685,92302,5617,6.5,Normal
840,Kamus Bahasa Inggris Oxford Advanced,259052,273191,14139,5.5,Normal
841,Limited Selotip bening 1 roll,18043,179254,161211,893.5,MARKUP GILA-GILAAN ⚠️
842,iPhone 15 Pro Max 256GB,21732890,24477461,2744571,12.6,Normal
843,Vacuum Cleaner Dyson V15 Detect,9260228,10174250,914022,9.9,Normal
844,Buku Zero to One Peter Thiel,86578,94725,8147,9.4,Normal
845,Luxury Cokelat KitKat 4 finger,13218,150854,137636,1041.3,MARKUP GILA-GILAAN ⚠️
846,Tas Gucci Marmont,28138779,32747451,4608672,16.4,Normal
847,Topi Snapback New Era,485652,603834,118182,24.3,Normal
848,Microwave Sharp 27L,1237311,1337279,99968,8.1,Normal
849,Buku Rich Dad Poor Dad Robert Kiyosaki,90496,112814,22318,24.7,Normal
850,Toner Some By Mi AHA BHA PHA,183501,220269,36768,20.0,Normal
851,Limited Pulpen Pilot G2 0.5mm,12630,87046,74416,589.2,MARKUP GILA-GILAAN ⚠️
852,Artisan Minuman Teh Kotak 200ml,27878,135389,107511,385.6,MARKUP GILA-GILAAN ⚠️
853,Kemeja Polo Ralph Lauren,1449382,1718962,269580,18.6,Normal
854,Luxury Beras Putih Premium 1kg,16617,177695,161078,969.4,MARKUP GILA-GILAAN ⚠️
855,Premium Cokelat KitKat 4 finger,19540,105379,85839,439.3,MARKUP GILA-GILAAN ⚠️
856,Buku Rich Dad Poor Dad Robert Kiyosaki,97773,118227,20454,20.9,Normal
857,Kamus Bahasa Inggris Oxford Advanced,258113,296396,38283,14.8,Normal
858,Sabun Muka CeraVe Hydrating Cleanser,188131,218851,30720,16.3,Normal
859,Gold Edition Kantong Plastik 'Eco' 1 pack,30516,168491,137975,452.1,MARKUP GILA-GILAAN ⚠️
860,Mesin Cuci Samsung Front Load 9kg,5695485,6290738,595253,10.5,Normal
861,Jaket North Face Nuptse,4674687,5355311,680624,14.6,Normal
862,Sepeda Statis Peloton Bike+,23432034,27521307,4089273,17.5,Normal
863,Barbel Set 20kg Body Gym,802556,876854,74298,9.3,Normal
864,Special Penggaris 30cm plastik,6149,93101,86952,1414.1,MARKUP GILA-GILAAN ⚠️
865,GPS Tracker Concox GT06N,427609,522551,94942,22.2,Normal
866,Eyeshadow Palette Urban Decay Naked,881776,968158,86382,9.8,Normal
867,Gold Edition Masker medis 3 ply 50pcs,20703,89795,69092,333.7,MARKUP GILA-GILAAN ⚠️
868,Protein Whey Optimum Nutrition 5lb,746109,849310,103201,13.8,Normal
869,Toner Some By Mi AHA BHA PHA,188726,203726,15000,7.9,Normal
870,Xbox Series X,7999281,8985456,986175,12.3,Normal
871,Buku Matematika Kumon Grade 7,64113,69867,5754,9.0,Normal
872,Body Lotion Bath & Body Works,367341,420907,53566,14.6,Normal
873,Wagyu A5 Beef 300g,728567,778275,49708,6.8,Normal
874,Hoodie Supreme Box Logo,8263205,10217840,1954635,23.7,Normal
875,DJI Mini 4 Pro Drone,11375270,12544246,1168976,10.3,Normal
876,Organic Kantong Plastik 'Eco' 1 pack,19660,220644,200984,1022.3,MARKUP GILA-GILAAN ⚠️
877,Teh Darjeeling FTGFOP1 100g,283877,333012,49135,17.3,Normal
878,Tas Louis Vuitton Neverfull MM,35753532,39601172,3847640,10.8,Normal
879,GoPro Hero 12 Black,6260369,7422060,1161691,18.6,Normal
880,Gloves Boxing Everlast Pro Style,492770,560077,67307,13.7,Normal
881,Novel Harry Potter Complete Set,807959,892738,84779,10.5,Normal
882,Tas Gucci Marmont,28910540,33344940,4434400,15.3,Normal
883,Granola Organic Uncle Tobys 500g,99057,113806,14749,14.9,Normal
884,Pelembab Cetaphil 250ml,149656,177348,27692,18.5,Normal
885,Ban Bridgestone Ecopia 195/65 R15,873796,936862,63066,7.2,Normal
886,Selai Kacang Skippy Chunky 462g,83739,95938,12199,14.6,Normal
887,Parfum Chanel No. 5 100ml,3600351,4182471,582120,16.2,Normal
888,Mesin Espresso De'Longhi La Specialista,11731138,13546819,1815681,15.5,Normal
889,Ultra Kapas Kecantikan biasa 100pcs,67391,878623,811232,1203.8,MARKUP GILA-GILAAN ⚠️
890,Premium Cokelat KitKat 4 finger,34131,247138,213007,624.1,MARKUP GILA-GILAAN ⚠️
891,Buku Masak Gordon Ramsay Ultimate Cookery,472479,552297,79818,16.9,Normal
892,Car Audio Pioneer MVH-S215BT,868591,952078,83487,9.6,Normal
893,Parfum Mobil Areon Mon Black Crystal,121295,132229,10934,9.0,Normal
894,Samsung 65 inch QLED TV,16310397,18237142,1926745,11.8,Normal
895,Hoodie Supreme Box Logo,8033150,9590595,1557445,19.4,Normal
896,Keju Parmigiano Reggiano 500g,368543,418238,49695,13.5,Normal
897,Alarm Mobil Clifford 350X,1733388,1888903,155515,9.0,Normal
898,Kemeja Polo Ralph Lauren,1456455,1770619,314164,21.6,Normal
899,Artisan Garam Himalaya 500g,33602,175953,142351,423.6,MARKUP GILA-GILAAN ⚠️
900,Artisan Kantong Plastik 'Eco' 1 pack,23773,123325,99552,418.8,MARKUP GILA-GILAAN ⚠️
901,Granola Organic Uncle Tobys 500g,93124,112979,19855,21.3,Normal
902,Ikat Pinggang Hermes,12496023,15461880,2965857,23.7,Normal
903,Artisan Selotip bening 1 roll,6574,103094,96520,1468.2,MARKUP GILA-GILAAN ⚠️
904,Mesin Espresso De'Longhi La Specialista,11539270,13382933,1843663,16.0,Normal
905,Champagne Moet & Chandon 750ml,913769,985235,71466,7.8,Normal
906,DJI Mini 4 Pro Drone,10541998,12326600,1784602,16.9,Normal
907,Dashcam Viofo A129 Pro Duo,2204938,2405149,200211,9.1,Normal
908,Ultra Minuman Teh Kotak 200ml,43087,186621,143534,333.1,MARKUP GILA-GILAAN ⚠️
909,Kaos Uniqlo UT Collab,240702,296211,55509,23.1,Normal
910,Wagyu A5 Beef 300g,776827,950422,173595,22.3,Normal
911,Deodorant Dove Original 150ml,45581,55017,9436,20.7,Normal
912,Topi Snapback New Era,502424,574591,72167,14.4,Normal
913,Sepatu Adidas Ultraboost 23,2165283,2596576,431293,19.9,Normal
914,Premium Tisu Makan Premium 200 lembar,32311,431638,399327,1235.9,MARKUP GILA-GILAAN ⚠️
915,Nintendo Switch OLED,4546402,4975286,428884,9.4,Normal
916,Mascara Maybelline Volum Express,147812,172210,24398,16.5,Normal
917,Buku Matematika Kumon Grade 7,65517,77519,12002,18.3,Normal
918,Ikat Pinggang Hermes,12140337,13105205,964868,7.9,Normal
919,Sneakers New Balance 990v6,2775312,3413496,638184,23.0,Normal
920,Jam Tangan Casio G-Shock GA700,1224103,1345217,121114,9.9,Normal
921,iPhone 15 Pro Max 256GB,22710387,28107532,5397145,23.8,Normal
922,Foundation MAC Studio Fix Fluid,575082,698440,123358,21.5,Normal
923,OPPO Find X7 Ultra,15648526,17282400,1633874,10.4,Normal
924,Sepatu Running Brooks Ghost 15,2030606,2284866,254260,12.5,Normal
925,Artisan Garam Himalaya 500g,14986,151360,136374,910.0,MARKUP GILA-GILAAN ⚠️
926,Blender Vitamix 5200,5735445,6594094,858649,15.0,Normal
927,DJI Mini 4 Pro Drone,11035855,13313548,2277693,20.6,Normal
928,Pelumas Rem Ate Brake Fluid DOT4,87317,94319,7002,8.0,Normal
929,Sepatu Running Brooks Ghost 15,2037382,2531222,493840,24.2,Normal
930,Sepatu Running Brooks Ghost 15,1978820,2247913,269093,13.6,Normal
931,Celana Jeans Levi's 501,926162,1125800,199638,21.6,Normal
932,Special Sabun Cuci Piring biasa 800ml,23507,196516,173009,736.0,MARKUP GILA-GILAAN ⚠️
933,PlayStation 5 Digital Edition,8850071,9802776,952705,10.8,Normal
934,Xbox Series X,7828947,8814769,985822,12.6,Normal
935,Saus Truffle Urbani 180g,346287,421695,75408,21.8,Normal
936,Parfum Dior Sauvage 100ml,2744148,3427494,683346,24.9,Normal
937,Gold Edition Tisu Makan Premium 200 lembar,79060,696192,617132,780.6,MARKUP GILA-GILAAN ⚠️
938,Air Fryer Philips 7L HD9270,1533502,1719486,185984,12.1,Normal
939,Kulkas Samsung Side by Side 700L,17204841,20912862,3708021,21.6,Normal
940,Helm Sepeda Giro Aether MIPS,4722023,5622837,900814,19.1,Normal
941,Novel Harry Potter Complete Set,862533,1024988,162455,18.8,Normal
942,Protein Whey Optimum Nutrition 5lb,736728,909388,172660,23.4,Normal
943,Wagyu A5 Beef 300g,755943,813403,57460,7.6,Normal
944,Exclusive Buku Tulis A5 biasa,24333,284236,259903,1068.1,MARKUP GILA-GILAAN ⚠️
945,Mixer KitchenAid Artisan 4.8L,9082327,11126022,2043695,22.5,Normal
946,Tas Louis Vuitton Neverfull MM,34091098,39794227,5703129,16.7,Normal
947,Kulkas Samsung Side by Side 700L,17231272,19409341,2178069,12.6,Normal
948,Celana Jeans Levi's 501,903688,951735,48047,5.3,Normal
949,Body Lotion Bath & Body Works,356636,378378,21742,6.1,Normal
950,Luxury Buku Tulis A5 biasa,54213,742111,687898,1268.9,MARKUP GILA-GILAAN ⚠️
951,Buku Rich Dad Poor Dad Robert Kiyosaki,92077,107489,15412,16.7,Normal
952,Krim Malam La Mer Moisturizing 60ml,4377922,5074863,696941,15.9,Normal
953,Kaos Uniqlo UT Collab,241628,273103,31475,13.0,Normal
954,Gold Edition Kantong Plastik 'Eco' 1 pack,67910,986110,918200,1352.1,MARKUP GILA-GILAAN ⚠️
955,Dompet Coach Crossgrain Leather,2256654,2503780,247126,11.0,Normal
956,Parfum Chanel No. 5 100ml,3383008,4185222,802214,23.7,Normal
957,Pasta Barilla Linguine 500g,43207,46505,3298,7.6,Normal
958,Parfum Chanel No. 5 100ml,3416428,4243124,826696,24.2,Normal
959,Realme GT5 Pro,8244486,10004926,1760440,21.4,Normal
960,Selai Kacang Skippy Chunky 462g,82447,89149,6702,8.1,Normal
961,Ban Bridgestone Ecopia 195/65 R15,926883,1073423,146540,15.8,Normal
962,Router WiFi 6 ASUS AX6000,3567005,4354159,787154,22.1,Normal
963,Masker Rambut Olaplex No.8 100ml,384787,451782,66995,17.4,Normal
964,Portable Charger Anker 26800mAh,579780,655799,76019,13.1,Normal
965,VIP Penggaris 30cm plastik,21970,127753,105783,481.5,MARKUP GILA-GILAAN ⚠️
966,RAM Corsair Vengeance 32GB DDR5,2530698,2867584,336886,13.3,Normal
967,Champagne Moet & Chandon 750ml,935115,1124798,189683,20.3,Normal
968,Toaster Oven Breville BOV900BSS,5698285,6581652,883367,15.5,Normal
969,Artisan Lem Kertas UHU 21g,15965,156712,140747,881.6,MARKUP GILA-GILAAN ⚠️
970,Buku Rich Dad Poor Dad Robert Kiyosaki,96183,118731,22548,23.4,Normal
971,Parfum Chanel No. 5 100ml,3491919,4030008,538089,15.4,Normal
972,Ultra Penggaris 30cm plastik,27876,294930,267054,958.0,MARKUP GILA-GILAAN ⚠️
973,Kamus Bahasa Inggris Oxford Advanced,247949,290537,42588,17.2,Normal
974,Laptop ASUS ROG Zephyrus G14,22299094,26775516,4476422,20.1,Normal
975,Wagyu A5 Beef 300g,772158,958058,185900,24.1,Normal
976,Pasta Barilla Linguine 500g,47038,56974,9936,21.1,Normal
977,Organic Kantong Plastik 'Eco' 1 pack,16903,193367,176464,1044.0,MARKUP GILA-GILAAN ⚠️
978,Tas Louis Vuitton Neverfull MM,33277227,37188568,3911341,11.8,Normal
979,Limited Buku Tulis A5 biasa,65167,875317,810150,1243.2,MARKUP GILA-GILAAN ⚠️
980,Sepatu Vans Old Skool,817243,931809,114566,14.0,Normal
981,Gold Edition Selotip bening 1 roll,56661,652806,596145,1052.1,MARKUP GILA-GILAAN ⚠️
982,Nintendo Switch OLED,4646773,4927705,280932,6.0,Normal
983,Oli Mesin Castrol Edge 5W-40 4L,277966,297502,19536,7.0,Normal
984,VIP Cotton Bud biasa 200pcs,48629,711207,662578,1362.5,MARKUP GILA-GILAAN ⚠️
985,Buku Rich Dad Poor Dad Robert Kiyosaki,98460,122218,23758,24.1,Normal
986,Syal Burberry Classic Check,5100419,5529663,429244,8.4,Normal
987,Mixer KitchenAid Artisan 4.8L,9237961,10546589,1308628,14.2,Normal
988,Portable Charger Anker 26800mAh,575242,704120,128878,22.4,Normal
989,Foundation MAC Studio Fix Fluid,602612,662625,60013,10.0,Normal
990,DJI Mini 4 Pro Drone,11098151,13513528,2415377,21.8,Normal
991,Robot Vacuum Cleaner Roomba j7+,8154382,9277045,1122663,13.8,Normal
992,Sepeda Statis Peloton Bike+,23929723,26885148,2955425,12.4,Normal
993,GPU NVIDIA RTX 4080,18106787,20767990,2661203,14.7,Normal
994,Luxury Minuman Teh Kotak 200ml,57997,876399,818402,1411.1,MARKUP GILA-GILAAN ⚠️
995,Buku Sapiens Yuval Noah Harari,115090,121289,6199,5.4,Normal
996,PlayStation 5 Digital Edition,8328041,9861822,1533781,18.4,Normal
997,Sepatu Adidas Ultraboost 23,2222464,2655956,433492,19.5,Normal
998,Buku Masak Gordon Ramsay Ultimate Cookery,449758,521174,71416,15.9,Normal
999,AC Daikin Inverter 1.5 PK,5300000,6224349,924349,17.4,Normal
1000,Wagyu A5 Beef 300g,714895,862970,148075,20.7,Normal
1001,Sepatu Formal Clarks Desert Boot,1809771,2170999,361228,20.0,Normal
1002,Anggur Red Wine Bordeaux,638297,789905,151608,23.8,Normal
1003,Pasta Barilla Linguine 500g,43365,51788,8423,19.4,Normal
1004,VIP Kapas Kecantikan biasa 100pcs,4169,41509,37340,895.7,MARKUP GILA-GILAAN ⚠️
1005,Mixer KitchenAid Artisan 4.8L,9687770,11417849,1730079,17.9,Normal
1006,Serum Rambut Pantene 70ml,85844,93970,8126,9.5,Normal
1007,Organic Kantong Plastik 'Eco' 1 pack,50212,798332,748120,1489.9,MARKUP GILA-GILAAN ⚠️
1008,Shampo Kerastase Bain Satin 250ml,332514,366657,34143,10.3,Normal
1009,Robot Vacuum Cleaner Roomba j7+,8288861,10342504,2053643,24.8,Normal
1010,Madu Manuka UMF 20+ 500g,881638,1049951,168313,19.1,Normal
1011,Baju Batik Danar Hadi Premium,835578,1011175,175597,21.0,Normal
1012,Pasta Barilla Linguine 500g,43138,52087,8949,20.7,Normal
